Time,SecL,RPM,MAP,MAPxRPM,TPS,AFR,Lambda,IAT,CLT,Engine,DFCO,Gego,Gair,Gbattery,Gwarm,Gbaro,Gammae,Accel Enrich,VE (Current,VE1,VE2,PW,PW2,PW3,PW4,AFR Target,Lambda Target,Duty Cycle,Duty Cycle (Staging,TPS DOT,Advance (Current,Dwell,Dwell (Measured,Battery V,rpm/s,Boost PSI,Boost cut,Hard Launch,Hard Limiter,Idle Control,IAC value,Baro Pressure,Fan,Sync Loss #,Loops/s,Loops/rev,Aux0,Aux1,Aux2,Aux3,Aux4,Aux5,Aux6,Aux7,Aux8,Aux9,Aux10,Aux11,Aux12,Aux13,Aux14,Aux15,Advance 1,Advance 2,FuelLoad,IgnitionLoad,Sync status,Engine Prot. RPM,Engine Prot. CLT,Trip Meter Miles,Odometer Miles,Vehicle Speed,Power,Torque
16.396,42,213,88,18744.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,46,46,0,5.461,5.461,0.000,0.000,5.000,0.556,1.0,0.0,0,5,4.500,4.515,12.9,-1030,-1.7,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2451.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,88.0,88.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.459,42,189,87,16443.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,44,44,0,5.159,5.159,0.000,0.000,5.000,0.556,0.8,0.0,0,5,4.500,4.515,12.9,-1030,-1.9,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,8703,2762.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,87.0,87.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.525,43,230,91,20930.0,0.0,5.000,0.556,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,5.969,5.969,0.000,0.000,5.000,0.556,1.1,0.0,0,5,4.500,4.512,12.7,-210,-1.3,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,91.0,91.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.590,43,203,86,17458.0,0.0,9.700,1.078,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,42,42,0,4.975,4.975,0.000,0.000,9.700,1.078,0.8,0.0,0,5,4.500,4.512,12.7,60,-2.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,965.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,86.0,86.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.657,43,235,92,21620.0,0.0,11.000,1.222,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,6.054,6.054,0.000,0.000,11.000,1.222,1.2,0.0,0,5,4.500,4.512,12.7,60,-1.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,833.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,92.0,92.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.724,43,199,85,16915.0,0.0,11.300,1.256,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,41,41,0,4.792,4.792,0.000,0.000,11.300,1.256,0.8,0.0,0,5,4.500,4.512,12.7,840,-2.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,984.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,85.0,85.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.793,43,243,92,22356.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,6.054,6.054,0.000,0.000,11.400,1.267,1.2,0.0,0,5,4.500,4.512,12.7,-430,-1.2,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,806.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,92.0,92.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.863,43,221,112,24752.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,51,51,0,7.220,7.220,0.000,0.000,11.400,1.267,1.3,0.0,0,5,4.500,4.512,12.7,-430,1.7,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,886.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,112.0,112.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.930,43,246,95,23370.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,50,50,0,6.226,6.226,0.000,0.000,11.400,1.267,1.3,0.0,0,5,4.500,4.512,12.7,-310,-0.7,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,796.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,95.0,95.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
16.998,43,191,87,16617.0,0.0,11.400,1.267,37.0,33.0,10,0.0,100,100,100.0,126,100,158,100,44,44,0,5.159,5.159,0.000,0.000,11.400,1.267,0.8,0.0,0,5,4.500,4.512,12.7,-310,-1.9,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,3266,1025.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,87.0,87.0,1.0,Off,Off,0.00,0.00,0.00,0.0,0.0
